#Frame         mn_hd1       mn_hd2       mn_hd3
     562       2.4605       2.0936       2.2488
     563       2.5230       2.2296       2.3713
     564       2.5005       2.1507       2.2562
     565       2.3317       2.2392       2.2323
     566       2.4335       2.3750       2.1915
     567       2.4297       2.3039       2.3195
     568       2.3328       2.1573       2.3165
     569       2.5043       2.2253       2.3147
     570       2.3036       2.0719       2.2014
     571       2.6245       2.1659       2.2206
     572       2.4237       2.2656       2.5165
     573       2.4970       2.2675       2.1216
     574       2.2994       2.3643       2.2425
     575       2.4530       2.1038       2.2517
     576       2.4736       2.2071       2.4186
     577       2.4806       2.3746       2.3195
     578       2.4844       2.1171       2.2628
     579       2.4162       2.1498       2.2321
     580       2.3190       2.1894       2.4553
     581       2.3216       2.2481       2.2637
     582       2.4050       2.2377       2.3558
     583       2.5269       2.3280       2.1233
     584       2.4775       2.4691       2.1998
     585       2.2192       2.1706       2.2813
     586       2.3333       2.3774       2.1193
     587       2.5658       2.2895       2.2445
     588       2.4561       2.2396       2.2402
     589       2.4245       2.2773       2.1988
     590       2.4577       2.1632       2.0981
     591       2.2815       2.3328       2.1698
     592       2.5700       2.3430       2.2493
     593       2.3580       2.1289       2.4509
     594       2.3870       2.1153       2.3606
     595       2.4052       2.4646       2.2608
     596       2.1594       2.2497       2.2854
     597       2.3598       2.3622       2.1075
     598       2.4666       2.2437       2.3585
     599       2.5343       2.4017       2.2588
     600       2.3950       2.3330       2.1100
     601       2.3247       2.1849       2.3887
     602       2.2759       2.3221       2.1699
     603       2.4281       2.3054       2.2983
     604       2.2158       2.2892       2.2994
     605       2.5410       2.4427       2.2768
     606       2.4484       2.2115       2.2745
     607       2.3195       2.1897       2.2936
     608       2.6742       2.2148       2.2432
     609       2.4486       2.1966       2.1904
     610       2.4677       2.2499       2.2269
     611       2.4730       2.2935       2.1178
     612       2.2175       2.2581       2.1882
     613       2.3210       2.1987       2.1730
     614       2.6029       2.2568       2.1096
     615       2.3549       2.2814       2.1512
     616       2.5531       2.2910       2.3185
     617       2.2968       2.3047       2.2883
     618       2.3838       2.3115       2.3084
     619       2.3863       2.2771       2.1939
     620       2.4137       2.4714       2.2158
     621       2.3618       2.1660       2.3040
     622       2.4408       2.2546       2.1279
     623       2.3384       2.3462       2.2703
     624       2.4213       2.2538       2.2538
     625       2.4193       2.3545       2.2561
     626       2.5458       2.3042       2.2354
     627       2.3641       2.3947       2.2376
     628       2.5535       2.3351       2.3040
     629       2.4514       2.1036       2.3050
     630       2.4996       2.2327       2.2116
     631       2.4870       2.2201       2.1554
     632       2.2184       2.4278       2.2221
     633       2.2084       2.2828       2.2254
     634       2.3299       2.1985       2.2059
     635       2.3711       2.4299       2.1402
     636       2.4117       2.1736       2.1114
     637       2.2327       2.2875       2.4122
     638       2.3954       2.2029       2.2361
     639       2.2225       2.3548       2.4606
     640       2.4920       2.2351       2.1419
     641       2.5310       2.3153       2.1309
     642       2.1731       2.3075       2.1498
     643       2.4374       2.2789       2.2184
     644       2.3170       2.3267       2.1075
     645       2.5254       2.2265       2.0881
     646       2.5161       2.3462       2.0170
     647       2.3586       2.3387       2.2947
     648       2.2444       2.3757       2.2240
     649       2.5643       2.2007       2.3668
     650       2.3715       2.3707       2.1426
     651       2.4407       2.2538       2.1642
     652       2.3603       2.3667       2.1144
     653       2.4447       2.2176       2.2415
     654       2.2645       2.2294       2.3746
     655       2.4732       2.3508       2.2383
     656       2.1859       2.4201       2.1629
     657       2.2320       2.1647       2.1433
     658       2.1330       2.2211       2.2996
     659       2.3455       2.2324       2.3109
     660       2.2028       2.1713       2.1868
     661       2.3248       2.4157       2.1899
     662       2.3942       2.3743       2.2337
     663       2.3415       2.2292       2.3412
     664       2.2416       2.1635       2.2062
     665       2.3982       2.2501       2.1763
     666       2.4618       2.3105       2.3738
     667       2.4743       2.3267       2.2867
     668       2.3477       2.2673       2.2815
     669       2.2890       2.3572       2.2197
     670       2.2300       2.2218       2.3221
     671       2.3200       2.2556       2.1577
     672       2.5599       2.3091       2.3028
     673       2.3966       2.2580       2.1861
     674       2.2901       2.1997       2.2614
     675       2.2538       2.2862       2.2817
     676       2.4144       2.2290       2.0767
     677       2.5037       2.4540       2.2154
     678       2.4026       2.2808       2.2594
     679       2.3349       2.3140       2.1602
     680       2.4818       2.2467       2.2827
     681       2.5270       2.1218       2.2907
     682       2.3784       2.4345       2.1856
     683       2.4640       2.3769       2.3104
     684       2.4130       2.3311       2.3244
     685       2.3595       2.2526       2.1170
     686       2.5581       2.2490       2.1546
     687       2.4200       2.1564       2.2296
     688       2.3159       2.3385       2.1378
     689       2.3555       2.3900       2.1858
     690       2.3234       2.2083       2.2210
     691       2.3150       2.3556       2.4357
     692       2.0003       2.3164       2.3417
     693       2.4784       2.2377       2.2104
     694       2.4962       2.2418       2.2596
     695       2.3660       2.1982       2.1731
     696       2.4464       2.3281       2.3519
     697       2.2330       2.3412       2.3544
     698       2.3365       2.2427       2.1289
     699       2.3971       2.0488       2.3672
     700       2.5409       2.1029       2.1768
     701       2.5642       2.2647       2.1582
     702       2.3304       2.1733       2.3201
     703       2.2626       2.3323       2.2249
     704       2.2759       2.2975       2.2466
     705       2.3190       2.1983       2.2786
     706       2.5735       2.3002       2.1717
     707       2.3123       2.2216       2.1046
     708       2.3166       2.1973       2.2673
     709       2.3717       2.0848       2.2920
     710       2.5063       2.2612       2.2324
     711       2.3872       2.3093       2.2658
     712       2.4495       2.2955       2.2097
     713       2.4562       2.2319       2.2654
     714       2.5554       2.2669       2.4103
     715       2.3382       2.3372       2.3445
     716       2.4817       2.1341       2.3741
     717       2.2709       2.3084       2.1987
     718       2.4641       2.1131       2.2708
