#Frame            rog     rog[Max]
     557      24.0075      48.2071
     558      23.9935      48.1320
     559      24.1167      48.1197
     560      24.0491      48.1680
     561      24.0378      48.2385
     562      24.1018      48.2428
     563      24.0802      48.7635
     564      24.0016      48.2840
     565      23.9367      49.1018
     566      23.9268      47.9079
     567      23.9608      48.0480
     568      24.0115      48.2636
     569      24.0569      48.9690
     570      23.9472      48.4036
     571      23.8637      47.5909
     572      23.9965      48.1382
     573      23.9804      48.1424
     574      24.0004      47.5223
     575      23.9870      48.0615
     576      23.8696      47.8227
     577      23.9100      46.7638
     578      23.8956      47.4867
     579      23.8860      47.6271
     580      23.9462      47.7312
     581      23.9488      47.7937
     582      24.0611      48.3025
     583      24.0056      48.5591
     584      23.9002      47.9369
     585      23.8259      48.0718
     586      23.8696      47.7867
     587      23.8547      47.5295
     588      23.9318      47.2638
     589      23.9067      47.7225
     590      23.9230      47.9843
     591      23.8646      47.1777
     592      23.8294      48.1085
     593      23.8385      47.3062
     594      23.8956      47.0163
     595      23.8650      47.8055
     596      23.8380      47.4487
     597      23.8853      48.2429
     598      23.9326      48.0797
     599      23.9439      48.0006
     600      24.0487      48.3923
     601      23.9086      33.1594
     602      23.9787      48.2763
     603      24.0369      47.2473
     604      23.9579      48.0277
     605      24.0290      48.0111
     606      24.0507      48.1616
     607      24.2082      48.7901
     608      24.1035      48.6861
     609      24.0122      47.9688
     610      23.9954      47.9242
     611      24.0432      48.2202
     612      23.9794      48.2776
     613      23.9092      47.2235
     614      23.9345      48.8033
     615      24.0876      48.6140
     616      24.1183      49.0634
     617      24.1861      49.9702
     618      24.1053      49.0769
     619      24.2185      49.7201
     620      24.1530      48.5792
     621      24.1565      48.4105
     622      24.1681      48.9783
     623      24.1672      49.5376
     624      24.0845      49.1416
     625      24.2349      49.2469
     626      24.2188      49.6572
     627      24.0226      48.3713
     628      24.0721      48.8042
     629      24.1814      49.9475
     630      24.1600      49.2857
     631      24.0175      48.5925
     632      23.9849      47.7188
     633      24.1135      49.4464
     634      24.1624      49.2432
     635      24.0889      49.0691
     636      24.1552      49.0202
     637      24.2115      49.2402
     638      24.1226      49.3330
     639      24.0209      48.5546
     640      24.1230      49.4565
     641      24.1698      49.8387
     642      24.0645      48.4285
     643      23.9687      48.3996
     644      23.9402      48.4659
     645      24.0328      49.8096
     646      24.0644      50.7747
     647      23.9204      49.3327
     648      23.9734      49.6176
     649      23.9734      48.5903
     650      24.0967      49.6618
     651      24.1204      49.7249
     652      23.8961      48.4473
     653      23.9152      47.9639
     654      23.9857      48.9232
     655      24.1387      48.7601
     656      24.0130      48.2902
     657      24.1760      48.7584
     658      24.1006      48.6866
     659      23.9906      48.6925
     660      23.9576      48.8915
     661      24.0814      48.5864
     662      24.1163      48.5241
     663      24.0496      48.8410
     664      23.9369      35.1002
     665      24.1066      49.8124
     666      24.0217      35.0903
     667      23.9356      34.8152
     668      23.9528      34.7376
     669      24.0177      48.2856
     670      23.9839      48.5185
     671      23.9929      49.9583
     672      24.0273      48.7576
     673      24.1124      49.6387
     674      24.0572      49.4524
     675      24.1777      49.8232
     676      24.1403      49.6449
     677      24.2426      50.0239
     678      24.1972      51.0284
     679      24.2394      51.3354
     680      24.2301      35.4694
     681      24.2351      35.3787
     682      24.1726      34.7917
     683      24.1402      49.3723
     684      24.2771      50.2829
     685      24.1411      49.9487
     686      24.2717      49.7043
     687      24.2301      50.3708
     688      24.2536      48.9833
     689      24.1941      49.4119
     690      24.1322      49.2760
     691      24.2405      48.4068
     692      24.1649      48.9791
     693      24.2024      48.4573
     694      24.0343      36.0496
     695      24.0820      48.6815
