#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     417       2.0089       3.9985       2.3759
     418       2.0070       3.9503       2.4132
     419       2.1447       4.1219       2.3714
     420       2.0787       3.9476       2.2357
     421       2.0858       3.9858       2.2480
     422       2.0612       4.0019       2.2177
     423       2.0500       3.9732       2.3466
     424       2.0920       4.0992       2.4298
     425       2.1402       4.1706       2.2593
     426       2.2312       4.2055       2.6072
     427       1.9613       4.0059       2.4622
     428       2.1848       4.2263       2.3557
     429       2.0663       4.0072       2.3841
     430       2.0960       3.9324       2.1993
     431       2.1398       4.0817       2.4563
     432       2.1804       4.1897       2.4049
     433       2.0491       4.0726       2.3337
     434       2.1119       4.1681       2.4233
     435       2.0963       4.1110       2.1379
     436       2.1270       4.1035       2.3426
     437       2.0461       4.0192       2.3039
     438       2.1300       4.1418       2.3072
     439       1.9595       3.9757       2.3632
     440       2.0761       4.0548       2.3802
     441       2.0463       4.0010       2.3600
     442       1.9884       4.0006       2.4321
     443       1.9197       3.9294       2.2926
     444       2.0183       4.0629       2.3976
     445       2.0818       4.0282       2.2733
     446       2.0691       4.0176       2.2005
     447       2.1947       4.2172       2.3331
     448       2.0574       4.0249       2.2573
     449       2.1165       4.1586       2.3677
     450       2.1185       4.1040       2.4681
     451       2.1560       4.0852       2.3885
     452       1.9195       3.9771       2.2771
     453       2.0941       4.1148       2.4663
     454       2.1423       4.1023       2.5036
     455       2.0977       3.9765       2.2941
     456       2.1020       3.9593       2.2745
     457       2.2341       3.9640       2.4419
     458       1.9849       4.0159       2.4376
     459       2.2024       4.1207       2.3597
     460       2.0599       4.0239       2.4370
     461       2.0683       4.0777       2.3763
     462       2.0735       3.9073       2.3096
     463       2.1229       4.0201       2.4438
     464       2.0830       4.0007       2.4632
     465       2.0494       4.0675       2.2167
     466       2.1864       4.1310       2.2946
     467       2.1562       4.1356       2.5146
     468       2.1227       4.1619       2.3746
     469       2.0618       4.0792       2.4805
     470       2.2076       4.1739       2.3613
     471       2.2497       4.1492       2.4779
     472       2.2661       4.1986       2.3361
     473       2.1678       4.0894       2.3081
     474       2.0348       3.9758       2.3903
     475       2.0329       4.0208       2.6037
     476       2.0231       3.9406       2.1389
     477       2.0924       3.9691       2.2742
     478       2.1697       4.1978       2.4727
     479       2.0824       4.0123       2.2661
     480       2.1155       4.1623       2.4045
     481       2.0000       3.9993       2.4116
     482       2.1388       4.0881       2.4196
     483       2.0242       3.9951       2.3882
     484       2.0465       3.9907       2.3607
     485       2.1265       4.1629       2.2988
     486       2.1877       4.0412       2.3224
     487       2.1906       4.1669       2.3193
     488       2.0578       4.0352       2.5724
     489       2.2011       4.1942       2.3100
     490       2.0680       4.0305       2.2518
     491       2.1404       4.0163       2.3770
     492       2.1744       4.1068       2.3019
     493       2.1196       4.0902       2.1728
     494       2.1149       4.0493       2.3764
     495       2.1667       4.2057       2.3271
     496       2.0440       4.0353       2.4542
     497       2.0541       4.0212       2.3141
     498       2.0720       3.9109       2.3726
     499       2.1678       4.1321       2.2908
     500       2.0635       4.1276       2.3895
     501       2.0543       4.0235       2.4303
     502       2.0415       3.9791       2.2632
     503       2.1113       4.1262       2.5434
     504       2.3066       4.1729       2.2332
     505       2.0716       3.9644       2.3554
     506       2.1661       4.1921       2.2400
     507       2.0866       4.0301       2.2901
     508       2.0196       3.9496       2.4092
     509       2.1192       4.1430       2.5860
     510       2.1360       4.0697       2.3829
     511       2.0416       4.0955       2.2256
     512       2.0358       4.0389       2.5070
     513       2.1379       4.0899       2.6064
     514       2.1124       4.0441       2.2277
     515       2.1543       4.0866       2.2189
     516       2.2400       4.1581       2.2536
     517       2.1772       4.0200       2.3893
     518       2.0549       3.9990       2.4366
     519       2.0572       3.9753       2.1529
     520       1.9845       3.9039       2.5615
     521       2.0132       3.9002       2.2060
     522       2.0407       4.0285       2.2241
     523       2.1383       4.0860       2.1789
     524       2.0789       4.0882       2.3955
     525       2.1794       4.0648       2.3341
     526       2.1136       4.1007       2.3928
     527       2.1596       4.1411       2.3967
     528       2.0386       4.0270       2.3164
     529       1.9684       3.9468       2.2932
     530       2.1399       3.9799       2.4369
     531       2.1253       4.1232       2.3340
     532       2.1127       4.0189       2.3493
     533       2.2259       4.2433       2.3152
     534       2.1824       4.1189       2.4754
     535       2.1453       4.1539       2.6530
     536       2.0245       4.0449       2.4045
     537       2.1911       4.0658       2.2250
     538       2.0467       4.0303       2.2607
     539       2.1750       4.0715       2.1855
     540       2.0080       3.9919       2.1581
     541       2.0870       3.9184       2.1480
     542       2.0124       4.0556       2.3474
     543       2.0798       3.9853       2.3123
     544       2.1109       4.0666       2.2722
     545       2.1745       4.0363       2.3739
     546       2.0694       3.9946       2.3193
     547       1.9956       3.9790       2.3864
     548       2.1920       4.1320       2.3503
     549       1.9715       3.9582       2.3298
     550       2.0653       4.0533       2.4024
     551       2.2166       4.1476       2.2511
     552       1.9946       4.0232       2.4093
     553       2.0987       3.9750       2.3361
     554       2.1354       4.0529       2.2240
     555       1.9183       3.9196       2.4278
     556       2.0207       4.0565       2.4440
