#Frame            RoG     RoG[Max]
     620      24.3624      47.9326
     621      24.2587      47.8373
     622      24.2287      46.7933
     623      24.4010      48.1335
     624      24.3956      48.5440
     625      24.4378      48.4485
     626      24.4146      47.7072
     627      24.3900      47.9012
     628      24.5575      48.7676
     629      24.4234      48.7212
     630      24.3761      49.5167
     631      24.3834      48.7351
     632      24.4912      49.4176
     633      24.5715      49.9911
     634      24.4622      49.2105
     635      24.4546      48.7851
     636      24.4143      48.7634
     637      24.4289      49.8241
     638      24.4389      49.8015
     639      24.5125      49.7544
     640      24.4519      50.1485
     641      24.4698      49.7222
     642      24.4180      49.6976
     643      24.4191      48.9010
     644      24.4420      49.7635
     645      24.5212      49.3720
     646      24.4246      49.3569
     647      24.3846      49.2692
     648      24.4527      48.7207
     649      24.4971      49.8315
     650      24.4954      49.9078
     651      24.3815      49.5644
     652      24.4740      49.5878
     653      24.4822      49.3559
     654      24.4721      49.4737
     655      24.5949      49.8393
     656      24.5331      48.5140
     657      24.5726      48.8349
     658      24.5902      49.2875
     659      24.5829      48.6940
     660      24.5306      48.9684
     661      24.4935      47.8217
     662      24.5428      47.8010
     663      24.5200      47.8391
     664      24.6938      48.8622
     665      24.5741      48.0015
     666      24.6216      49.2553
     667      24.4430      48.6003
     668      24.3466      47.6688
     669      24.5004      48.1296
     670      24.4160      47.9661
     671      24.4661      48.1700
     672      24.4745      48.6188
     673      24.5700      48.8809
     674      24.4878      48.9894
     675      24.4084      49.3347
     676      24.5419      49.5241
     677      24.6504      50.0852
     678      24.4700      48.9910
     679      24.5010      48.8131
     680      24.4933      48.4517
     681      24.4522      47.8979
     682      24.3250      47.7926
     683      24.3493      46.7824
     684      24.3527      47.4037
     685      24.4017      47.8461
     686      24.2137      47.4414
     687      24.3188      47.6265
     688      24.2682      47.4846
     689      24.3400      47.9929
     690      24.3453      48.0798
     691      24.2829      47.0526
     692      24.3168      47.4539
     693      24.3859      47.7281
     694      24.4931      47.6602
     695      24.4236      47.3990
     696      24.4380      47.7996
     697      24.3008      47.2645
     698      24.2938      47.3483
     699      24.3438      46.7392
     700      24.3106      47.4761
     701      24.5053      48.8710
     702      24.3002      47.6673
     703      24.3619      48.2620
     704      24.3966      47.6810
     705      24.3782      48.5059
     706      24.4853      48.9117
     707      24.4761      48.5314
     708      24.4477      48.9648
     709      24.3372      47.9603
     710      24.3270      47.6594
     711      24.4250      47.9307
     712      24.3840      48.2248
     713      24.4048      47.4270
     714      24.2838      47.0599
     715      24.3191      47.6023
     716      24.3641      48.6233
     717      24.2801      47.6827
     718      24.2848      47.3661
     719      24.3350      47.8561
     720      24.3463      48.5373
     721      24.4237      49.1947
     722      24.4557      48.2654
     723      24.4299      48.2770
     724      24.2880      47.6196
     725      24.2990      47.7482
     726      24.2286      47.2556
     727      24.3224      47.5971
     728      24.3712      47.5531
     729      24.3302      48.0649
     730      24.3557      48.7743
     731      24.3476      49.0837
     732      24.3424      49.1922
     733      24.3524      48.6874
     734      24.2883      48.5834
     735      24.4493      49.0831
     736      24.3838      48.7117
     737      24.2706      48.9988
     738      24.4132      49.0657
     739      24.1705      47.8705
     740      24.2098      48.2829
     741      24.3437      48.9740
     742      24.2713      48.1044
     743      24.4544      48.7705
     744      24.4078      49.5134
     745      24.5899      48.9949
     746      24.3639      48.4936
     747      24.3404      47.9713
     748      24.3875      48.3036
     749      24.2551      47.8294
     750      24.3859      48.1869
     751      24.3391      48.7485
     752      24.3222      48.4767
     753      24.4414      48.7329
     754      24.2889      49.1769
     755      24.2489      48.0539
     756      24.3507      47.6654
     757      24.2686      47.3842
     758      24.3129      47.7942
     759      24.3382      48.3423
     760      24.2341      48.1698
     761      24.1541      48.0776
     762      24.3575      48.9895
     763      24.3360      48.2991
     764      24.4058      48.8515
     765      24.3034      48.5495
     766      24.3099      48.9590
     767      24.3112      48.5127
     768      24.3207      48.4275
     769      24.4450      48.9014
     770      24.2430      48.3162
     771      24.3655      48.0300
     772      24.3632      48.4133
     773      24.2908      47.9984
