#Frame            RoG     RoG[Max]
     610      23.9904      44.8452
     611      24.0244      44.9676
     612      23.9625      45.4228
     613      23.9066      45.1975
     614      23.9112      45.3829
     615      24.0832      46.2029
     616      24.1060      46.5234
     617      24.1747      47.3094
     618      24.0935      46.4050
     619      24.2145      46.8626
     620      24.1479      45.9440
     621      24.1560      45.6362
     622      24.1657      46.5475
     623      24.1742      46.3376
     624      24.0769      46.5041
     625      24.2503      46.2696
     626      24.2297      46.9442
     627      24.0431      45.7221
     628      24.0822      45.8731
     629      24.1845      46.8325
     630      24.1626      46.0404
     631      24.0208      45.4325
     632      23.9824      45.0641
     633      24.1353      46.6901
     634      24.1756      46.6564
     635      24.0998      46.1457
     636      24.1641      46.4747
     637      24.2165      46.4329
     638      24.1145      46.2001
     639      24.0217      46.3953
     640      24.1420      47.0627
     641      24.1592      46.7948
     642      24.0623      45.7620
     643      23.9711      45.7430
     644      23.9396      46.2997
     645      24.0265      46.9530
     646      24.0800      47.8767
     647      23.9215      46.8093
     648      23.9870      46.3807
     649      23.9902      46.0945
     650      24.1185      46.8056
     651      24.1323      46.0396
     652      23.9041      45.3995
     653      23.9135      44.9247
     654      23.9924      45.8401
     655      24.1311      46.4338
     656      24.0138      45.5533
     657      24.1766      45.8115
     658      24.1173      45.9615
     659      23.9977      46.0238
     660      23.9763      45.6521
     661      24.0975      46.0096
     662      24.1254      45.7995
     663      24.0675      46.4650
     664      23.9549      46.3750
     665      24.1331      46.6970
     666      24.0198      46.8815
     667      23.9416      45.6286
     668      23.9766      45.1490
     669      24.0438      45.4276
     670      24.0272      45.6822
     671      24.0310      46.6201
     672      24.0613      45.4568
     673      24.1580      46.7033
     674      24.0841      47.1907
     675      24.2117      47.3975
     676      24.1653      47.0284
     677      24.2605      47.1693
     678      24.2215      47.4218
     679      24.2505      48.1651
     680      24.2387      47.5602
     681      24.2609      46.6546
     682      24.1876      46.3893
     683      24.1555      47.1345
     684      24.2915      47.3986
     685      24.1566      46.9849
     686      24.2834      47.2186
     687      24.2352      47.2943
     688      24.2517      46.6803
     689      24.2100      46.5004
     690      24.1476      46.4198
     691      24.2654      46.0161
     692      24.1611      46.7211
     693      24.2238      46.0893
     694      24.0340      45.0310
     695      24.0898      45.4899
     696      24.2069      46.0114
     697      24.1787      46.1294
     698      24.1524      45.3987
     699      24.1750      45.6965
     700      24.2724      46.3428
     701      24.2294      45.5369
     702      24.0939      45.3089
     703      24.0247      45.0373
     704      24.0339      45.0666
     705      24.1554      45.2811
     706      24.0760      44.3984
     707      24.0759      44.8443
     708      24.2077      45.8570
     709      24.1497      45.0429
     710      24.0277      45.0296
     711      24.0553      44.9636
     712      24.1214      44.3502
     713      24.2743      44.6830
     714      24.0830      44.6021
     715      24.0499      45.3695
     716      24.0678      44.2638
     717      24.0472      44.7044
     718      24.0421      44.3364
     719      24.0607      45.2518
     720      24.1305      44.9203
     721      24.0758      44.3615
     722      24.0833      44.1108
     723      24.0627      44.6269
     724      24.1137      44.9268
     725      24.3009      45.2800
     726      24.3172      45.3756
     727      24.3233      44.8458
     728      24.1953      44.4747
     729      24.3061      45.2395
     730      24.2542      44.9456
     731      24.1480      44.9205
     732      24.0385      44.8729
     733      24.0803      44.8258
     734      24.1033      45.4332
     735      24.1543      45.4369
     736      24.0838      44.4449
     737      24.0725      45.8296
     738      24.0069      45.0610
     739      23.9701      44.5336
     740      23.9405      44.0835
     741      24.0103      44.1461
     742      24.2006      45.3651
     743      24.0541      45.2840
